economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
CRI,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9304437816928081456971020661,PASS_COMPATIBLE_SCALE
CYM,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.120721529041085033066944496,PASS_COMPATIBLE_SCALE
CYP,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9993654600176615827301334174,PASS_COMPATIBLE_SCALE
CYP,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999888117161808684063343022,PASS_COMPATIBLE_SCALE
CZE,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9870921189769902990459392287,PASS_COMPATIBLE_SCALE
CZE,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9870921189769902990459392287,PASS_COMPATIBLE_SCALE
CZE,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
CZE,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
DEU,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.103621747903185346349615988,PASS_COMPATIBLE_SCALE
DEU,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.103621747903185346349615988,PASS_COMPATIBLE_SCALE
DEU,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000002021425638082049196,PASS_COMPATIBLE_SCALE
DEU,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000002021425638082049196,PASS_COMPATIBLE_SCALE
DNK,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.063903708401058894146152071,PASS_COMPATIBLE_SCALE
DNK,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.063903708401058894146152071,PASS_COMPATIBLE_SCALE
DNK,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000003946435677826694150255,PASS_COMPATIBLE_SCALE
DNK,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000534983743761773336848,PASS_COMPATIBLE_SCALE
ESP,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9987505760561344607910683142,PASS_COMPATIBLE_SCALE
ESP,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9987505760561344607910683142,PASS_COMPATIBLE_SCALE
ESP,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999999999897588202161937752,PASS_COMPATIBLE_SCALE
EST,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.003226620356852171759633772,PASS_COMPATIBLE_SCALE
EST,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.002170305390781170559832513,PASS_COMPATIBLE_SCALE
EST,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000001239148624420632042005,PASS_COMPATIBLE_SCALE
EST,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000385547517872437372921179,PASS_COMPATIBLE_SCALE
FIN,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999013494539919132904644896,PASS_COMPATIBLE_SCALE
FIN,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999013494539919132904644896,PASS_COMPATIBLE_SCALE
FIN,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999013494539919132904644896,PASS_COMPATIBLE_SCALE
FIN,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999013494539919132904644896,PASS_COMPATIBLE_SCALE
